timestamp,user_id,event_type,resource,src_ip,status
2026-09-02T03:15:12.335669,user_nightowl,login,/api/login,10.0.0.15,success
2026-09-02T15:49:12.335669,user_7,write,/api/data,10.0.0.1,success
2026-09-02T15:50:12.335669,user_6,read,/api/profile,10.0.0.1,success
2026-09-02T15:53:12.335669,user_7,read,/api/data,10.0.1.50,success
2026-09-02T16:01:12.335669,user_7,read,/api/profile,10.0.0.1,success
2026-09-02T16:07:12.335669,user_14,login,/api/data,10.0.0.2,success
2026-09-02T16:15:12.335669,user_18,write,/api/data,10.0.0.2,success
2026-09-02T16:17:12.335669,user_6,write,/api/profile,10.0.1.50,success
2026-09-02T16:27:12.335669,user_8,login,/api/data,10.0.0.1,success
2026-09-02T16:34:12.335669,user_13,login,/api/profile,10.0.0.1,success
2026-09-02T16:40:12.335669,user_20,write,/api/profile,10.0.0.1,success
2026-09-02T16:43:12.335669,user_2,logout,/api/data,10.0.1.50,success
2026-09-02T16:44:12.335669,user_3,login,/api/profile,10.0.1.50,success
2026-09-02T16:45:12.335669,user_15,login,/api/profile,10.0.0.2,success
2026-09-02T16:55:12.335669,user_2,logout,/api/data,10.0.0.1,success
2026-09-02T16:57:12.335669,user_17,read,/api/data,10.0.0.1,failed
2026-09-02T17:07:12.335669,user_20,login,/api/data,10.0.0.1,success
2026-09-02T17:12:12.335669,user_12,login,/api/data,10.0.0.1,success
2026-09-02T17:20:12.335669,user_16,write,/api/profile,10.0.1.50,success
2026-09-02T17:23:12.335669,user_19,write,/api/data,10.0.1.50,success
2026-09-02T17:32:12.335669,user_5,read,/api/data,10.0.0.2,success
2026-09-02T17:39:12.335669,user_9,login,/api/data,10.0.0.1,success
2026-09-02T17:45:12.335669,user_6,logout,/api/data,10.0.0.1,success
2026-09-02T17:46:12.335669,user_6,logout,/api/profile,10.0.1.50,failed
2026-09-02T17:52:12.335669,user_15,write,/api/profile,10.0.1.50,success
2026-09-02T17:57:12.335669,user_4,read,/api/data,10.0.0.2,success
2026-09-02T18:07:12.335669,user_4,login,/api/data,10.0.0.2,success
2026-09-02T18:09:12.335669,user_2,login,/api/data,10.0.1.50,success
2026-09-02T18:15:12.335669,user_2,login,/api/profile,10.0.0.1,success
2026-09-02T18:24:12.335669,user_18,write,/api/data,10.0.0.1,success
2026-09-02T18:28:12.335669,user_10,write,/api/profile,10.0.0.1,success
2026-09-02T18:35:12.335669,user_19,logout,/api/data,10.0.0.2,success
2026-09-02T18:39:12.335669,user_2,write,/api/data,10.0.0.1,success
2026-09-02T18:42:12.335669,user_16,login,/api/profile,10.0.0.1,success
2026-09-02T18:48:12.335669,user_6,login,/api/data,10.0.0.1,success
2026-09-02T18:56:12.335669,user_1,write,/api/data,10.0.0.1,success
2026-09-02T19:03:12.335669,user_6,write,/api/data,10.0.0.2,success
2026-09-02T19:08:12.335669,user_15,logout,/api/profile,10.0.1.50,success
2026-09-02T19:14:12.335669,user_20,write,/api/profile,10.0.0.1,success
2026-09-02T19:15:12.335669,user_20,read,/api/profile,10.0.0.1,success
2026-09-02T19:21:12.335669,user_11,logout,/api/profile,10.0.0.2,success
2026-09-02T19:22:12.335669,user_10,read,/api/data,10.0.0.2,success
2026-09-02T19:28:12.335669,user_16,logout,/api/profile,10.0.0.1,success
2026-09-02T19:35:12.335669,user_18,write,/api/data,10.0.0.1,success
2026-09-02T19:38:12.335669,user_1,read,/api/data,10.0.0.2,success
2026-09-02T19:47:12.335669,user_14,read,/api/profile,10.0.0.1,success
2026-09-02T19:57:12.335669,user_11,login,/api/profile,10.0.0.1,success
2026-09-02T19:59:12.335669,user_9,logout,/api/profile,10.0.0.2,success
2026-09-02T20:00:12.335669,user_10,logout,/api/profile,10.0.0.1,success
2026-09-02T20:03:12.335669,user_19,read,/api/data,10.0.0.2,success
2026-09-02T20:11:12.335669,user_7,read,/api/profile,10.0.0.1,success
2026-09-02T20:17:12.335669,user_15,logout,/api/data,10.0.0.2,success
2026-09-02T20:23:12.335669,user_18,logout,/api/data,10.0.0.1,success
